id,term,positive_score,nagative_score
2460,두려워하다,0.00399,0.00275
2461,두렵다,0.01342,0.00864
2462,두루,0.00294,0.00314
2463,두루두루,0.00068,0.00079
2464,두르다,0.00143,0.00079
2465,두리,0.0003,0.00353
2466,두부,0.00106,0.00079
2467,두서없다,0.0003,0.00157
2468,두세,0.00271,0.00353
2469,두어,0.0006,0.00196
2470,두텁다,0.00075,0.00039
2471,둔감,0.00023,0.00511
2472,둔갑,0.0003,0.00157
2473,둔하다,0.00053,0.00039
2474,둘러보다,0.00399,0.00432
2475,둘러싸다,0.00656,0.00353
2476,둘러싸이다,0.0009,0.00039
2477,둘째치다,0.00106,0.00511
2478,둥글다,0.00098,0.00118
2479,둥글둥글,0.00053,0
2480,둥이,0.00467,0.00275
2481,뒤늦다,0.00716,0.00432
2482,뒤돌다,0.00121,0.00118
2483,뒤돌아보다,0.00294,0.00039
2484,뒤따르다,0.00083,0.00039
2485,뒤떨어지다,0.00068,0.00118
2486,뒤바뀌다,0.00045,0.00039
2487,뒤섞이다,0.00098,0.00393
2488,뒤엉키다,0.00038,0.00079
2489,뒤엎다,0.00106,0
2490,뒤죽,0.0006,0.00432
2491,뒤지다,0.00332,0.00589
2492,뒤집다,0.0055,0.00353
2493,뒤집히다,0.00053,0.00118
2494,뒤쳐지다,0.00128,0.00196
2495,뒤틀리다,0.00098,0.00157
2496,뒤흔들다,0.00128,0
2497,뒹굴다,0.00128,0.00118
2498,드나들다,0.00075,0
2499,드넓다,0.00053,0
2500,드디어,0.1209,0.00982
2501,드라마,0.07033,0.07226
2502,드라이,0.00045,0.00079
2503,드래곤,0.00392,0.00079
2504,드래곤볼,0.00068,0
2505,드래다,0.00196,0.00079
2506,드러나다,0.01937,0.02553
2507,드러내다,0.01289,0.01217
2508,드러커,0.00053,0
2509,드럽다,0.00038,0.00118
2510,드레스,0.00083,0.00039
2511,드레싱,0.00106,0
2512,드로잉,0.00513,0.00353
2513,드론,0.00784,0.00196
2514,드리다,0.06912,0.03731
2515,드리우다,0.00075,0
2516,드림,0.00098,0.00118
2517,드립,0.00271,0.0055
2518,드문드문,0.0003,0.00196
2519,드물다,0.01116,0.00825
2520,드소토,0.00045,0.00039
2521,득세,0.00068,0.00079
2522,득점,0.00256,0.00039
2523,득템,0.00279,0.00079
2524,듣다,0.33881,0.25918
2525,들다,0.23645,0.22188
2526,들뜨다,0.00181,0.00157
2527,들려오다,0.00226,0.00039
2528,들려주다,0.01681,0.00511
2529,들르다,0.00241,0.00471
2530,들리다,0.01967,0.01453
2531,들먹이다,0.00038,0.00353
2532,들어가다,0.05555,0.05733
2533,들어내다,0.00053,0.00079
2534,들어다,0.00068,0.00039
2535,들어맞다,0.00128,0.00118
2536,들어서다,0.00347,0.00079
2537,들어오다,0.04078,0.03377
2538,들어차다,0.00075,0
2539,들여다보다,0.01764,0.00668
2540,들이,0.00068,0.00079
2541,들이다,0.01696,0.01846
2542,들이대다,0.0006,0.00039
2543,들추다,0.00565,0.00432
2544,들치다,0.00068,0
2545,들키다,0.00166,0.00118
2546,듬뿍,0.00415,0.00118
2547,듯다,0.00045,0.00039
2548,등극,0.00113,0
2549,등급,0.0006,0.00039
2550,등단,0.0009,0.00157
2551,등대,0.00196,0
2552,등록,0.00166,0.00628
2553,등산,0.00113,0
2554,등신,0.00053,0.00079
2555,등장,0.05646,0.07147
2556,등재,0.00053,0.00079
2557,등한,0.00068,0
2558,디다,0.0092,0.00196
2559,디디다,0.00106,0.00079
2560,디딤,0.00068,0.00079
2561,디모,0.00053,0.00157
2562,디버,0.00098,0.00196
2563,디비,0.00068,0
2564,디비다,0.00053,0.00079
2565,디스,0.00106,0.00039
2566,디스크,0.00158,0.00118
2567,디스토피아,0.00339,0.00196
2568,디자이너,0.00211,0.00353
2569,디자인,0.03256,0.04869
2570,디저트,0.00241,0.00039
2571,디즈니,0.00505,0.00196
2572,디지털,0.00339,0.00236
2573,디킨스,0.00354,0.00196
2574,디테일,0.01085,0.01767
2575,디펜스,0.00053,0.00079
2576,딜런,0.0006,0.00039
2577,딜레마,0.00106,0.00039
2578,따끈따끈,0.00068,0.00039
2579,따끔,0.00234,0
2580,따다,0.01937,0.00903
2581,따돌리다,0.00075,0
2582,따돌림,0.00053,0.00039
2583,따라가다,0.02201,0.01257
2584,따라다니다,0.00106,0
2585,따라부르다,0.00151,0.00039
2586,따라오다,0.00415,0.00039
2587,따라잡다,0.00173,0.00196
2588,따라하다,0.0003,0.00118
2589,따로,0.01869,0.02749
2590,따르다,0.10605,0.0966
2591,따리,0.00121,0.00039
2592,따먹다,0.0006,0.00039
2593,따분,0.00053,0.00118
2594,따오다,0.0009,0.00314
2595,따옴,0.00113,0.00039
2596,따지다,0.00799,0.00942
2597,딱딱,0.00151,0.00079
2598,딱지,0.00354,0.00314
2599,딱히,0.00535,0.03377
2600,딴지,0.0009,0.00118
2601,딸기,0.00136,0
2602,딸꾹,0.00068,0
2603,딸랑,0.00023,0.00157
2604,딸리다,0.00294,0.00511
2605,때다,0.00121,0.00275
2606,때때로,0.00219,0.00157
2607,때려치다,0.0006,0.00118
2608,때로,0.02329,0.01139
2609,때리다,0.00445,0.00668
2610,때마침,0.00106,0
2611,때우다,0.00166,0.0055
2612,땜시,0.00045,0.00079
2613,땡기다,0.00369,0.00314
2614,땡큐,0.00143,0.00039
2615,떠나가다,0.00121,0.00079
2616,떠나다,0.04485,0.02985
2617,떠나보내다,0.00204,0
2618,떠나오다,0.00068,0
2619,떠다니다,0.00045,0.00118
2620,떠돌다,0.00121,0.00432
2621,떠들다,0.00317,0.00353
2622,떠밀리다,0.00053,0.00039
2623,떠오르다,0.03648,0.02317
2624,떠올리다,0.02005,0.00942
2625,떨다,0.00535,0.00628
2626,떨리다,0.00603,0.00432
2627,떨어뜨리다,0.00136,0.00864
2628,떨어지다,0.03497,0.14098
2629,떨치다,0.00317,0.00314
2630,떼다,0.0196,0.01021
2631,떼쓰다,0.0006,0.00079
2632,또는,0.01206,0.01414
2633,또라이,0.00068,0.00079
2634,또래,0.00347,0.00275
2635,또한,0.05947,0.0377
2636,똑같다,0.0144,0.03495
2637,똑같이,0.00415,0.00589
2638,똑바로,0.00226,0.00432
2639,똑부러지다,0.00075,0.00118
2640,똘똘,0.00083,0.00039
2641,뚜껑,0.00113,0.00118
2642,뚝딱,0.00399,0.00157
2643,뚝뚝,0.00204,0.00353
2644,뚫다,0.00286,0.00353
2645,뚫리다,0.00256,0.00157
2646,뚫어지다,0.0006,0
2647,뛰놀다,0.00045,0.00039
2648,뛰다,0.011,0.0106
2649,뛰어가다,0.00045,0.00039
2650,뛰어나다,0.02284,0.01649
2651,뛰어넘다,0.00799,0.0055
2652,뛰어들다,0.00196,0.00275
2653,뜨거워지다,0.00196,0
2654,뜨겁다,0.01658,0.00628
2655,뜨끔,0.00286,0.00039
2656,뜨다,0.03467,0.02435
2657,뜨이다,0.00075,0
2658,뜬금없다,0.00143,0.00668
2659,뜬금없이,0.00083,0.00471
2660,뜯기다,0.00075,0.00353
2661,뜯다,0.00709,0.01453
2662,뜯어보다,0.0009,0.00157
2663,뜻깊다,0.00294,0.00079
2664,띄다,0.00882,0.02003
2665,띄어,0.00128,0.00196
2666,띄어쓰다,0.00075,0.00236
2667,띄엄띄엄,0.00068,0.00236
2668,띄우다,0.00136,0.00471
2669,띠다,0.00181,0.00471
2670,라디오,0.00347,0.00236
2671,라라,0.00121,0.00039
2672,라르손,0.00136,0.00196
2673,라마,0.00068,0
2674,라멘,0.00068,0.00118
2675,라면,0.00226,0.00432
2676,라벨,0.00075,0.00157
2677,라스,0.00113,0.00079
2678,라스트,0.00083,0.00118
2679,라오스,0.00045,0.00118
2680,라이,0.00204,0.00432
2681,라이더,0.0006,0
2682,라이벌,0.00083,0.00039
2683,라이브,0.00249,0
2684,라이스,0.00083,0.00118
2685,라이어,0.00068,0.00118
2686,라이언,0.00151,0.00157
2687,라이즈,0.00068,0
2688,라이트,0.00347,0.01257
2689,라이팅,0.0006,0.00039
2690,라이프,0.01296,0.01296
2691,라인,0.00663,0.00785
2692,라임,0.00317,0.00039
2693,라자,0.0009,0.00157
2694,라장,0.0009,0
2695,라캉,0.00075,0.00079
2696,라티나,0.00219,0.00079
2697,라틴,0.00083,0.00079
2698,라틴어,0.00347,0.00628
2699,라플라스,0.00158,0.00196
2700,라히리,0.00068,0.00039
2701,란포,0.00038,0.00118
2702,랑야,0.00045,0.00039
2703,래리,0.00128,0.00079
2704,래미,0.00362,0.00157
2705,랜덤,0.00271,0.00353
2706,랜드,0.00158,0.00118
2707,램프,0.00053,0.00039
2708,랩소디,0.00083,0
2709,러너,0.00339,0.00118
2710,러닝,0.00196,0
2711,러브,0.00852,0.00825
2712,러브크래프트,0.00106,0.00039
2713,러블리,0.00083,0.00039
2714,러셀,0.00279,0.00079
2715,러시아,0.00332,0.00353
2716,런던,0.00204,0.00118
2717,런지,0.00143,0.00118
2718,레고,0.0009,0.00039
2719,레누,0.00121,0.00157
2720,레드,0.00173,0.00118
2721,레몬,0.00083,0.00039
2722,레버리지,0.00075,0.00118
2723,레베카,0.00075,0.00039
2724,레벨,0.00324,0.00196
2725,레비,0.00128,0
2726,레서피,0.0009,0.00079
2727,레스,0.00075,0.00039
2728,레슨,0.00098,0
2729,레시피,0.03301,0.0216
2730,레싱,0.00053,0.00118
2731,레알,0.00106,0.00039
2732,레오,0.00219,0.00314
2733,레오나르도,0.0006,0
2734,레옹,0.0006,0
2735,레이,0.00739,0.0106
2736,레이겐,0.00098,0
2737,레이나,0.00136,0.00039
2738,레이드,0.00158,0.00275
2739,레이디,0.00113,0.00039
2740,레이먼드,0.00211,0.00118
2741,레이스,0.00075,0.00039
2742,레이아웃,0.00045,0.00079
2743,레이어,0.00121,0.00118
2744,레이첼,0.0006,0.00039
2745,레이코,0.0006,0
2746,레전드,0.00219,0
2747,레진,0.00286,0.00079
2748,레츠,0.00083,0
2749,레터,0.00075,0.00039
2750,레티,0.00083,0
2751,레포트,0.00053,0.00157
2752,렌즈,0.00038,0.00079
2753,려고,0.00038,0.00236
2754,련지,0.00151,0.00039
2755,로그인,0.00075,0.00275
2756,로드,0.00452,0.00668
2757,로드맵,0.00083,0.00118
2758,로또,0.00068,0.00118
2759,로라,0.00045,0.00118
2760,로렌,0.00053,0.00039
2761,로로,0.00053,0.00039
2762,로리,0.00279,0.00236
2763,로마,0.01794,0.01021
2764,로마사,0.00121,0.00079
2765,로망,0.00354,0.00118
2766,로맨스,0.03098,0.02749
2767,로맨틱,0.00143,0.00157
2768,로맹,0.00121,0.00196
2769,로미오,0.0006,0.00039
2770,로버트,0.00241,0.00196
2771,로보텀,0.00098,0.00118
2772,로봇,0.00829,0.00275
2773,로빈,0.00053,0.00079
2774,로스,0.00166,0.00196
2775,로스트,0.00083,0.00039
2776,로알드,0.00415,0.00157
2777,로얄,0.00075,0.00118
2778,로자,0.00083,0.00039
2779,로쟈,0.0006,0.00039
2780,로즈,0.0006,0
2781,로지,0.00045,0.00118
2782,로컬,0.00098,0
2783,로켓,0.00121,0.00118
2784,로코,0.0006,0.00039
2785,로크,0.0003,0.00118
2786,로클린,0.00113,0.00118
2787,로토,0.00053,0
2788,롤라,0.00106,0.00039
2789,롤러,0.00143,0.00039
2790,롤링,0.0006,0.00196
2791,롱런,0.00068,0
2792,료코,0.00045,0.00079
2793,루나,0.00098,0
2794,루레이로,0.00045,0.00079
2795,루루,0.0006,0
2796,루리,0.0003,0.00118
2797,루비,0.0006,0
2798,루소,0.00098,0.00039
2799,루시,0.00158,0
2800,루이스,0.00196,0.00196
2801,루이자,0.00151,0.00039
2802,루이즈,0.00106,0.00118
2803,루카스,0.0006,0
2804,루타,0.00038,0.00079
2805,루터,0.00068,0.00039
2806,루트,0.0009,0.00079
2807,루틴,0.00068,0.00079
2808,루프,0.00075,0.00118
2809,루피,0.00249,0.00039
2810,류시화,0.00543,0.00157
2811,류향,0.0003,0.00118
2812,르네,0.00038,0.00079
2813,르네상스,0.00173,0.00118
2814,르바,0.00068,0
2815,르소,0.00083,0.00353
2816,르포,0.00143,0.00393
2817,리가,0.00098,0.00157
2818,리그,0.00121,0.00236
2819,리뉴,0.00045,0.00079
2820,리더,0.00754,0.00825
2821,리드,0.00151,0.00236
2822,리들리,0.00038,0.00079
2823,리듬,0.00452,0.00275
2824,리디,0.00053,0.00118
2825,리디아,0.00075,0
2826,리딩,0.00588,0.00864
2827,리메이크,0.00128,0.00157
2828,리미,0.00068,0.00196
2829,리버,0.00068,0
2830,리버스,0.00113,0
2831,리뷰,0.03852,0.09543
2832,리스,0.00294,0.0055
2833,리스닝,0.00271,0.00314
2834,리스본,0.00181,0.00039
2835,리스크,0.00038,0.00079
2836,리스트,0.00927,0.00903
2837,리아,0.00106,0
2838,리아나,0.0009,0
2839,리안,0.00106,0.00079
2840,리어,0.00151,0.00236
2841,리얼,0.00671,0.00314
2842,리얼리즘,0.00113,0.00079
2843,리얼리티,0.00196,0.00236
2844,리오니,0.0009,0
2845,리우,0.0006,0.00039
2846,리의,0.0006,0.00079
2847,리제,0.00286,0
2848,리즈,0.00068,0.00157
2849,리차드,0.00038,0.00079
2850,리처,0.00188,0.00314
2851,리처드,0.00204,0.00079
2852,리치,0.00045,0.00118
2853,리카,0.00083,0.00118
2854,리커,0.00045,0.00079
2855,리쿠,0.00339,0.00628
2856,리타,0.00106,0.00039
2857,리틀,0.00158,0.00079
2858,리티,0.00136,0.00157
2859,리포터,0.00053,0
2860,리포트,0.00098,0.00275
2861,리프킨,0.00038,0.00157
2862,릭터,0.00053,0.00079
2863,린다,0.00068,0.00039
2864,린치,0.00098,0.00079
2865,릴라,0.00128,0.00118
2866,릴리,0.00128,0.00314
2867,립니,0.00128,0.00157
2868,링컨,0.00219,0.00236
2869,링크,0.00128,0.00511
2870,마감,0.00332,0.00628
2871,마거릿,0.00075,0
2872,마구,0.01025,0.00628
2873,마그넷,0.00045,0.00039
2874,마금,0.00098,0.00079
2875,마나,0.00083,0.00079
2876,마냥,0.00113,0
2877,마녀,0.00822,0.00471
2878,마니,0.00181,0.00196
2879,마니아,0.00143,0.00275
2880,마님,0.00053,0.00039
2881,마다,0.00377,0.00157
2882,마당,0.00234,0.00275
2883,마더,0.00143,0.00079
2884,마도,0.00113,0.00039
2885,마두,0.00053,0
2886,마들렌,0.00068,0
2887,마디,0.05721,0.0593
2888,마땅히,0.00106,0
2889,마라,0.00053,0.00236
2890,마라톤,0.00173,0.00157
2891,마력,0.00467,0.00079
2892,마련,0.00648,0.00432
2893,마루,0.00279,0.00079
2894,마르다,0.00769,0.00903
2895,마르케스,0.00121,0.00039
2896,마르크스,0.00317,0.00314
2897,마르틴,0.00106,0.00039
2898,마리,0.00829,0.00511
2899,마리아,0.00045,0.00079
2900,마무리,0.02714,0.04909
2901,마물,0.0006,0
2902,마법,0.03023,0.00707
2903,마블,0.00204,0.00157
2904,마성,0.00151,0
2905,마션,0.00173,0.01139
2906,마술,0.00603,0.00275
2907,마스,0.0009,0.00039
2908,마스다,0.00972,0.01178
2909,마스킹,0.00075,0.00039
2910,마스터,0.00437,0.00353
2911,마시다,0.01907,0.03652
2912,마시멜로,0.00053,0
2913,마야,0.00166,0.00039
2914,마약,0.00437,0.00196
2915,마오,0.00045,0.00157
2916,마왕,0.00271,0.00157
2917,마우스,0.00497,0.00157
2918,마을,0.01319,0.00785
2919,마음,0.5626,0.24151
2920,마음껏,0.00354,0.00314
2921,마음먹다,0.00249,0.00196
2922,마의,0.00045,0.00039
2923,마이,0.00294,0.00471
2924,마이너,0.0006,0.00157
2925,마이너스,0.00075,0.00393
2926,마이리,0.00053,0.00039
2927,마이크,0.00068,0.00275
2928,마이클,0.0055,0.00393
2929,마인,0.00136,0
2930,마인드,0.00995,0.01021
2931,마일,0.0006,0.00039
2932,마일리지,0.00106,0.00471
2933,마일즈,0.00053,0
2934,마저,0.00075,0.00079
2935,마주,0.01183,0.00707
2936,마주치다,0.00226,0.00157
2937,마주하다,0.00181,0.00079
2938,마중,0.00136,0
2939,마지막,0.12829,0.10485
2940,마직,0.00053,0
2941,마찬가지,0.0104,0.01806
2942,마초,0.00053,0.00196
2943,마치다,0.00505,0.00432
2944,마침,0.00626,0.00353
2945,마침내,0.00302,0
2946,마카롱,0.00083,0.00157
2947,마케팅,0.01131,0.04006
2948,마켓,0.00136,0.00196
2949,마코토,0.00075,0.00079
2950,마크,0.00188,0.00393
2951,마크툽,0.00068,0.00039
2952,마키,0.00151,0
2953,마키아벨리,0.00106,0.00039
2954,마타,0.00106,0.00236
2955,마토바,0.00075,0
2956,마트,0.00211,0.00157
2957,마틴,0.00158,0.00079
2958,마틸다,0.00219,0.00079
2959,막강,0.00068,0.00039
2960,막걸리,0.00053,0.00079
2961,막내,0.00384,0.00118
2962,막상,0.01025,0.01689
2963,막스,0.00143,0.00275
2964,막연히,0.00437,0.00039
2965,막장,0.00234,0.01296
2966,막히다,0.0141,0.01453
2967,막힘없이,0.00173,0.00039
2968,만끽,0.00332,0.00196
2969,만나다,0.18942,0.05694
2970,만남,0.0193,0.00589
2971,만년,0.00106,0.00079
2972,만능,0.00241,0.00118
2973,만다,0.00249,0.00196
2974,만담,0.0003,0.00157
2975,만두,0.0006,0.00039
2976,만든다,0.01553,0.01649
2977,만들다,0.36414,0.29099
2978,만듦,0.00166,0.00275
2979,만료,0.00083,0.00039
2980,만리,0.00286,0.00353
2981,만물,0.00121,0.00079
2982,만발,0.00204,0
2983,만병,0.00045,0.00236
2984,만사,0.00083,0.00039
2985,만성,0.00075,0.00079
2986,만세,0.0058,0.00118
2987,만수,0.00151,0
2988,만약,0.00859,0.011
2989,만연,0.00264,0.00275
2990,만의,0.00294,0.00079
2991,만인,0.00053,0.00039
2992,만일,0.00075,0.00079
2993,만자,0.00045,0.00039
2994,만장,0.00234,0.00039
2995,만점,0.00927,0.00785
2996,만족,0.10153,0.05027
2997,만주,0.0009,0.00079
2998,만지다,0.0049,0.00432
2999,만찬,0.00053,0.00079
3000,만추,0.00347,0.00157
3001,만큼,0.00256,0.00236
3002,만행,0.00075,0.00039
3003,만화,0.19402,0.10014
3004,만회,0.00053,0.00079
3005,많다,0.61363,0.58748
3006,많이,0.34929,0.36482
3007,말기,0.00136,0.00471
3008,말끔히,0.00053,0
3009,말년,0.00053,0.00079
3010,말다,0.01191,0.02199
3011,말랑,0.00053,0
3012,말랑말랑,0.0006,0.00039
3013,말리다,0.00256,0.0055
3014,말미,0.00106,0.00275
3015,말썽,0.00234,0.00157
3016,말씀,0.02518,0.02631
3017,말아먹다,0.00053,0.00157
3018,말이,0.00068,0
3019,말초,0.00053,0.00118
3020,말콤,0.00075,0.00079
3021,맑다,0.00716,0.00236
3022,맑스,0.00068,0.00471
3023,맘껏,0.00143,0.00118
3024,맘마,0.00181,0
3025,맘먹다,0.0006,0
3026,맙소사,0.0009,0.00079
3027,맛나다,0.00377,0.00079
3028,맛보다,0.00935,0.00589
3029,맛없다,0.00053,0.00196
3030,맛있다,0.02872,0.01021
3031,망가,0.0006,0.00157
3032,망가뜨리다,0.0003,0.00353
3033,망가지다,0.00309,0.00353
3034,망각,0.00256,0.00157
3035,망국,0.00053,0.00118
3036,망라,0.00188,0.00157
3037,망명,0.0006,0
3038,망상,0.00143,0.00825
3039,망설,0.0006,0
3040,망설이다,0.02088,0.01806
3041,망설임,0.00053,0
3042,망신,0.00023,0.00432
3043,망언,0.0003,0.00353
3044,망울,0.00098,0
3045,망원,0.0009,0
3046,망치,0.00083,0.00118
3047,망치다,0.00249,0.00982
3048,망하다,0.00633,0.01178
3049,맞다,0.09987,0.21638
3050,맞닥뜨리다,0.00083,0.00157
3051,맞닿다,0.00188,0.00079
3052,맞먹다,0.00038,0.00079
3053,맞물리다,0.00256,0.00118
3054,맞서다,0.0055,0.00393
3055,맞아떨어지다,0.00143,0.00039
3056,맞음,0.00045,0.00079
3057,맞이,0.00045,0.00039
3058,맞추다,0.03203,0.0432
3059,맞춤,0.01048,0.00825
3060,맞히다,0.00068,0
3061,맡기다,0.00324,0.00746
3062,맡다,0.0649,0.10171
3063,매각,0.00121,0
3064,매개,0.00286,0.00118
3065,매거진,0.00121,0
3066,매국,0.00023,0.00236
3067,매기다,0.00128,0.00314
3068,매끄럽다,0.0092,0.03024
3069,매너,0.0009,0
3070,매너리즘,0.00075,0.00157
3071,매년,0.00663,0.00511
3072,매뉴얼,0.00113,0.00157
3073,매니아,0.00415,0.00314
3074,매니저,0.00045,0.00039
3075,매다,0.015,0.01492
3076,매달,0.0009,0.00079
3077,매달리다,0.00151,0.00353
3078,매도,0.0009,0.00157
3079,매듭,0.00068,0.00079
3080,매력,0.11804,0.08404
3081,매료,0.00377,0.00196
3082,매매,0.00173,0.00236
3083,매몰,0.00121,0.00118
3084,매미,0.00053,0.00118
3085,매번,0.02193,0.01217
3086,매사,0.00075,0.00079
3087,매섭다,0.00053,0
3088,매수,0.00068,0.00039
3089,매스,0.00166,0.00275
3090,매우,0.08141,0.07658
3091,매이다,0.00068,0
3092,매일,0.04651,0.01414
3093,매입,0.00038,0.00236
3094,매장,0.00166,0.00471
3095,매주,0.00234,0.00079
3096,매직,0.00113,0.00079
3097,매진,0.00113,0.00079
3098,매체,0.0043,0.00393
3099,매춘,0.00045,0.00039
3100,매출,0.00045,0.00118
3101,매치,0.00053,0.00196
3102,매칭,0.00038,0.00079
3103,매큐언,0.00181,0.00039
3104,매튜,0.0006,0
3105,매트,0.00219,0.00157
3106,매트릭스,0.00113,0.00039
3107,매합,0.0009,0
3108,매해,0.00075,0
3109,매혹,0.00641,0.00511
3110,매회,0.0009,0
3111,맥락,0.00603,0.01296
3112,맥스,0.00083,0
3113,맥주,0.00513,0.00236
3114,맨날,0.0049,0.00157
3115,맴돌다,0.00347,0.00471
3116,맵다,0.00083,0
3117,맹목,0.00173,0.00196
3118,맹신,0.00075,0.00393
3119,맹자,0.00068,0.00039
3120,맹점,0.00053,0.00157
3121,맺다,0.00633,0.00825
3122,맺히다,0.00181,0
3123,머그,0.00339,0.00118
3124,머금다,0.00136,0.00039
3125,머나멀다,0.00121,0.00039
3126,머니,0.00106,0.00118
3127,머리,0.05819,0.05733
3128,머릿,0.01289,0.0055
3129,머무르다,0.00354,0.00353
3130,머물다,0.0043,0.00314
3131,머뭇거리다,0.00121,0.00079
3132,머스,0.00023,0.00157
3133,머스크,0.00181,0.00039
3134,머신,0.00196,0.00039
3135,머지않다,0.00075,0.00039
3136,머핀,0.00573,0
3137,먹다,0.10899,0.09268
3138,먹먹하다,0.00369,0.00118
3139,먹이,0.00068,0.00157
3140,먹이다,0.00317,0.00628
3141,먹히다,0.00166,0.00511
3142,먼로,0.0006,0
3143,먼저,0.08012,0.04987
3144,먼지,0.00445,0.0055
3145,멀다,0.0447,0.04555
3146,멀리,0.011,0.00668
3147,멀티,0.00053,0
3148,멈추다,0.0208,0.01296
3149,멋들어지다,0.00083,0.00079
3150,멋있다,0.01176,0.00511
3151,멋지다,0.10259,0.02867
3152,멍멍,0.0006,0
3153,멍하다,0.00083,0.00039
3154,메구미,0.0006,0.00118
3155,메꾸다,0.00053,0.00118
3156,메뉴,0.00595,0.00353
3157,메다,0.01153,0.01374
3158,메디치,0.00068,0.00079
3159,메디컬,0.00106,0.00079
3160,메르,0.00098,0
3161,메르세데스,0.0009,0.00236
3162,메르스,0.0009,0
3163,메리,0.00565,0.00039
3164,메리트,0.00053,0.00236
3165,메마르다,0.00309,0.00236
3166,메멘토,0.00053,0.00039
3167,메모,0.00716,0.01453
3168,메모장,0.00053,0
3169,메세지,0.00995,0.011
3170,메스,0.00075,0.00039
3171,메시지,0.0153,0.01257
3172,메신저,0.00045,0.00039
3173,메아리,0.00045,0.00039
3174,메우다,0.00083,0.00118
3175,메이,0.00241,0.00118
3176,메이다,0.00505,0.00668
3177,메이드,0.00083,0
3178,메이저,0.0006,0.00118
3179,메이즈,0.00332,0.00118
3180,메이지,0.0009,0.00079
3181,메이커,0.00068,0.00118
3182,메이크업,0.00339,0.00196
3183,메이트,0.00075,0
3184,메이플,0.00731,0.00118
3185,메인,0.00075,0.00353
3186,메일,0.00151,0.00157
3187,메커니즘,0.00053,0.00079
3188,메키,0.0006,0
3189,메타,0.0009,0.00039
3190,메타포,0.0006,0.00039
3191,멕시코,0.00113,0
3192,멘붕,0.00113,0.00079
3193,멘탈,0.00204,0.00511
3194,멘토,0.00415,0.00314
3195,멜로디,0.00113,0.00039
3196,멤버,0.00151,0
3197,며느라기,0.0006,0
3198,며느리,0.00264,0
3199,며칠,0.00859,0.00825
3200,면면,0.00128,0.00118
3201,면모,0.00173,0.00157
3202,면목,0.00113,0
3203,면역,0.00219,0.00236
3204,면접,0.00716,0.00079
3205,면죄,0.0003,0.00118
3206,면지,0.0006,0
3207,면허,0.0006,0.00039
3208,멸렬,0.00015,0.00314
3209,멸망,0.00121,0.00157
3210,멸시,0.00075,0.00118
3211,멸종,0.00196,0.00157
3212,명견,0.00083,0.00118
3213,명곡,0.00053,0
3214,명랑,0.00151,0.00039
3215,명량,0.00045,0.00039
3216,명령,0.0009,0.00039
3217,명리,0.00347,0.00196
3218,명망,0.00038,0.00079
3219,명명,0.00075,0.00039
3220,명문,0.00188,0.00196
3221,명복,0.00392,0.00079
3222,명분,0.00068,0.00079
3223,명불허전,0.00905,0.00039
3224,명사,0.00256,0.00393
3225,명상,0.00467,0.00903
3226,명서,0.0009,0.00079
3227,명성,0.00844,0.02003
3228,명소,0.00106,0.00039
3229,명시,0.00098,0.00196
3230,명실,0.0006,0
3231,명심,0.00128,0.00314
3232,명언,0.00317,0.0055
3233,명예,0.00211,0.00353
3234,명의,0.00362,0.00157
3235,명이,0.00045,0.00079
3236,명인,0.0006,0.00039
3237,명작,0.0346,0.01296
3238,명저,0.00369,0.00118
3239,명절,0.00264,0.00118
3240,명제,0.00136,0.00196
3241,명치,0.0006,0
3242,명칭,0.00106,0.00118
3243,명품,0.00324,0.00118
3244,명학,0.00068,0
3245,명화,0.00219,0.00157
3246,명확히,0.00188,0.00353
3247,몇몇,0.00151,0.00393
3248,모국,0.00113,0.00236
3249,모나다,0.00045,0.00079
3250,모녀,0.00128,0.00118
3251,모노,0.00053,0.00039
3252,모니터,0.00053,0.00079
3253,모더니즘,0.00045,0.00039
3254,모던,0.00173,0.00157
3255,모델,0.00633,0.00511
3256,모독,0.00053,0.00157
3257,모두,0.16613,0.08561
3258,모두다,0.00151,0.00157
3259,모드,0.00106,0.00079
3260,모든,0.15437,0.10367
3261,모디아노,0.00075,0.00039
3262,모래,0.00204,0.00118
3263,모럴,0.0003,0.00118
3264,모르다,0.28567,0.41469
3265,모름,0.0003,0.00118
3266,모름지기,0.00083,0
3267,모리,0.00113,0.00039
3268,모리스,0.00053,0
3269,모리아티,0.00075,0
3270,모멸,0.00188,0.00157
3271,모모,0.00075,0
3272,모바일,0.00075,0.00118
3273,모방,0.00128,0.00196
3274,모범,0.00226,0.00236
3275,모색,0.00188,0.00118
3276,모서리,0.00369,0.00942
3277,모성,0.00173,0.00157
3278,모순,0.00799,0.01178
3279,모습,0.15671,0.06244
3280,모시다,0.00309,0.00314
3281,모양,0.0104,0.02121
3282,모에,0.00075,0.00039
3283,모예스,0.00068,0.00157
3284,모욕,0.00121,0.00393
3285,모으다,0.0557,0.05616
3286,모음,0.00317,0.00746
3287,모의,0.01025,0.00353
3288,모이다,0.01229,0.00903
3289,모임,0.00686,0.00471
3290,모자,0.00309,0
3291,모자라다,0.00399,0.00589
3292,모자람,0.00075,0.00079
3293,모자르다,0.00053,0.00236
3294,모자이크,0.00053,0
3295,모조,0.00045,0.00039
3296,모조리,0.00219,0.00236
3297,모지스,0.00083,0.00079
3298,모질다,0.0009,0.00157
