id,term,positive_score,nagative_score
206,감질,0.00068,0.00039
207,감질나다,0.00106,0
208,감촉,0.00068,0
209,감추다,0.00724,0.00668
210,감칠,0.00098,0
211,감탄,0.03279,0.01296
212,감회,0.00173,0.00039
213,감흥,0.00271,0.02199
214,감히,0.00987,0.0055
215,갑자기,0.01214,0.02906
216,갑작스럽다,0.00241,0.00471
217,갑작스레,0.00045,0.00039
218,값지다,0.00279,0.00118
219,갓나다,0.0006,0
220,갓다,0.0003,0.00157
221,갔다오다,0.00053,0.00079
222,강간,0.00068,0.00589
223,강경,0.00053,0.00039
224,강과,0.00045,0.00039
225,강국,0.00083,0.00079
226,강남,0.00249,0.00511
227,강단,0.0006,0.00196
228,강대,0.00121,0.00157
229,강도,0.00181,0.00275
230,강력,0.00746,0.00118
231,강력히,0.00196,0.00039
232,강림,0.00075,0
233,강박,0.00249,0.0055
234,강백호,0.00151,0
235,강사,0.0055,0.01021
236,강성태,0.0006,0.00039
237,강세,0.0003,0.00118
238,강신주,0.00309,0.00668
239,강아지,0.00912,0.00511
240,강압,0.0006,0.00157
241,강약,0.00083,0
242,강연,0.01364,0.0161
243,강요,0.00761,0.01257
244,강원,0.0006,0.00039
245,강유원,0.00053,0.00039
246,강의,0.05985,0.04202
247,강인,0.00098,0.00039
248,강자,0.00188,0
249,강점,0.00558,0.00393
250,강제,0.00196,0.00432
251,강조,0.01078,0.02395
252,강좌,0.00204,0.00196
253,강주룡,0.00143,0
254,강준만,0.00098,0.00314
255,강지,0.0006,0
256,강추,0.1203,0.00589
257,강하다,0.0349,0.04084
258,강호,0.00106,0.00079
259,강화,0.00332,0.00157
260,강희,0.00158,0
261,갖다,0.09678,0.06401
262,갖추다,0.01304,0.01257
263,같이,0.11239,0.0538
264,갚다,0.00204,0.00039
265,개개,0.00347,0.00471
266,개관,0.00068,0.00039
267,개괄,0.00188,0.00275
268,개구리,0.00595,0.00275
269,개구쟁이,0.00128,0
270,개구지다,0.00068,0
271,개국,0.00053,0
272,개그,0.00987,0.01296
273,개념,0.04055,0.03377
274,개다,0.00234,0.00314
275,개략,0.00045,0.00039
276,개론,0.00249,0.00589
277,개미,0.00829,0.00942
278,개발,0.01108,0.01806
279,개방,0.00121,0.00079
280,개별,0.00219,0.00236
281,개봉,0.00912,0.00432
282,개선,0.00603,0.00785
283,개설,0.00053,0.00079
284,개성,0.0144,0.00903
285,개신,0.00068,0
286,개연,0.00256,0.02356
287,개요,0.0003,0.00118
288,개운,0.00045,0.00118
289,개인,0.09867,0.16533
290,개입,0.00234,0.00157
291,개정,0.03256,0.03416
292,개조,0.00045,0.00079
293,개척,0.00362,0.00157
294,개천,0.00038,0.00118
295,개체,0.00068,0
296,개취,0.00053,0.00353
297,개츠비,0.00369,0.00236
298,개코,0.00143,0.00039
299,개탄,0.00038,0.00196
300,개혁,0.00332,0.00314
301,객관,0.00136,0.00079
302,객주,0.00083,0
303,객체,0.00083,0
304,갱신,0.0006,0
305,갱지,0.00068,0.00157
306,갸우뚱,0.00158,0.00314
307,거꾸로,0.00271,0.00275
308,거닐다,0.00106,0
309,거대,0.00927,0.00982
310,거두다,0.00249,0.00432
311,거들뜨다,0.0006,0.00118
312,거듭,0.00663,0.0055
313,거듭나다,0.00151,0.00118
314,거랑,0.00068,0.00196
315,거래,0.00286,0.00236
316,거론,0.0009,0.00079
317,거르다,0.00249,0.02238
318,거름,0.00098,0.00079
319,거리,0.03942,0.03181
320,거리다,0.00136,0.00157
321,거미,0.00693,0.00196
322,거부,0.01372,0.01767
323,거북,0.00173,0.00314
324,거북이,0.00121,0
325,거세다,0.0006,0.00079
326,거스르다,0.00173,0.00118
327,거슬리다,0.00648,0.03809
328,거시,0.00196,0.00196
329,거실,0.00136,0.00118
330,거울,0.00558,0.00236
331,거의,0.03822,0.07343
332,거인,0.00249,0.00079
333,거장,0.00678,0.00393
334,거저,0.00075,0.00039
335,거절,0.00075,0.00039
336,거주,0.00158,0.00196
337,거지,0.00181,0.00668
338,거진,0.00045,0.00118
339,거짓,0.01839,0.01964
340,거참,0.00015,0.00196
341,거치,0.00068,0
342,거치다,0.00633,0.00668
343,거칠다,0.00497,0.00864
344,거침없다,0.00211,0.00118
345,거침없이,0.00188,0.00118
346,거품,0.00121,0.00982
347,걱정,0.04703,0.02395
348,건강,0.04877,0.02356
349,건국,0.00038,0.00157
350,건내다,0.0006,0
351,건너,0.00038,0.00079
352,건너가다,0.0009,0
353,건너다,0.00256,0.00314
354,건너뛰다,0.00068,0.00196
355,건네다,0.00633,0.00157
356,건달,0.00045,0.00039
357,건드리다,0.00347,0.00353
